source_var_id,source_var_name,shamanism_relevant,reason
In trance possession:,In trance possession:,True,Religious question from DRH survey
Through divination practices:,Through divination practices:,True,Religious question from DRH survey
Through divination processes:,Through divination processes:,True,Religious question from DRH survey
Is a spirit-body distinction present:,Is a spirit-body distinction present:,True,Religious question from DRH survey
Other spirit-body relationship:,Other spirit-body relationship:,True,Religious question from DRH survey
Spirit distinct powers:,Spirit distinct powers:,True,Religious question from DRH survey
Spirit non-material:,Spirit non-material:,True,Religious question from DRH survey
Belief in afterlife:,Belief in afterlife:,True,Religious question from DRH survey
