culture_id,cluster_id,method
Aa4,2,kmeans
Af56,0,kmeans
CARNEIRO4_053,0,kmeans
Aj28,0,kmeans
Eb4,4,kmeans
Cc14,4,kmeans
Ee4,2,kmeans
SCCS122,0,kmeans
Ih7,4,kmeans
Cb28,0,kmeans
Aj10,0,kmeans
CARNEIRO4_095,0,kmeans
Aj19,4,kmeans
Id4,2,kmeans
Ci6,2,kmeans
Ad30,2,kmeans
Ai8,2,kmeans
Ca24,4,kmeans
Ac22,0,kmeans
Ag51,0,kmeans
Ig5,2,kmeans
Ag34,0,kmeans
Na15,0,kmeans
Ae38,0,kmeans
Ca41,0,kmeans
Ai16,0,kmeans
Ae12,2,kmeans
Ad31,0,kmeans
Cg1,0,kmeans
Ag33,0,kmeans
Ag27,0,kmeans
Ch7,0,kmeans
Ea10,0,kmeans
Ch4,2,kmeans
Ej2,2,kmeans
SCCS91,3,kmeans
Aj23,4,kmeans
CARNEIRO4_029,0,kmeans
SCCS123,3,kmeans
Na39,2,kmeans
Nc18,0,kmeans
Sh7,4,kmeans
Ej11,2,kmeans
CARNEIRO4_025,0,kmeans
Af13,2,kmeans
Af19,4,kmeans
Af32,4,kmeans
CARNEIRO4_001,0,kmeans
SCCS43,3,kmeans
Af18,0,kmeans
Ag19,0,kmeans
CARNEIRO4_109,0,kmeans
Af33,0,kmeans
Ae20,4,kmeans
Af27,0,kmeans
Sc13,0,kmeans
Ie7,2,kmeans
ch15,0,kmeans
ch16,0,kmeans
Ah24,0,kmeans
ec16,0,kmeans
SCCS130,3,kmeans
Ae3,2,kmeans
Af42,2,kmeans
Ae5,2,kmeans
Ad19,2,kmeans
Ie16,2,kmeans
Af1,4,kmeans
Ie31,0,kmeans
SCCS29,0,kmeans
Ie25,0,kmeans
Af43,2,kmeans
Ai4,4,kmeans
ch17,0,kmeans
Af51,0,kmeans
Ce2,2,kmeans
WNAI34,0,kmeans
CARNEIRO4_124,0,kmeans
CARNEIRO4_098,0,kmeans
CARNEIRO4_011,0,kmeans
Ef7,4,kmeans
Sa7,4,kmeans
SCCS69,3,kmeans
Af28,2,kmeans
Ah6,4,kmeans
Ca15,2,kmeans
Cc11,0,kmeans
SCCS48,3,kmeans
Ea11,0,kmeans
SCCS119,0,kmeans
Ad32,2,kmeans
WNAI6,1,kmeans
Ad24,0,kmeans
Af55,0,kmeans
Ca9,0,kmeans
WNAI124,1,kmeans
Ag45,0,kmeans
Ie24,0,kmeans
CARNEIRO4_076,0,kmeans
Sc4,0,kmeans
Cd11,4,kmeans
Si6,4,kmeans
Ah36,0,kmeans
Ef9,0,kmeans
Id11,0,kmeans
Af52,0,kmeans
Ad12,2,kmeans
Na20,2,kmeans
Ae14,0,kmeans
Ca43,0,kmeans
SCCS9,0,kmeans
WNAI7,0,kmeans
Sb9,2,kmeans
SCCS66,0,kmeans
Ca21,4,kmeans
Ia5,0,kmeans
Cc1,4,kmeans
SCCS26,3,kmeans
CARNEIRO6_053,0,kmeans
Ij6,4,kmeans
Ad42,0,kmeans
Ea3,2,kmeans
Ad8,2,kmeans
Ab1,2,kmeans
SCCS141,0,kmeans
Nj14,0,kmeans
SCCS154,0,kmeans
Ed9,0,kmeans
Nf2,2,kmeans
CARNEIRO4_027,0,kmeans
Ef4,0,kmeans
WNAI159,1,kmeans
Ed4,2,kmeans
SCCS32,0,kmeans
Nj11,0,kmeans
Nj5,2,kmeans
SCCS152,0,kmeans
Ae15,0,kmeans
Ch8,0,kmeans
WNAI38,0,kmeans
Ah37,0,kmeans
Ie35,2,kmeans
SCCS85,0,kmeans
Af20,4,kmeans
Cg2,2,kmeans
Ad40,0,kmeans
Af29,0,kmeans
Af30,0,kmeans
Ah9,4,kmeans
Af34,0,kmeans
Ac1,4,kmeans
Ci8,4,kmeans
Ea4,0,kmeans
ch18,0,kmeans
Cc8,0,kmeans
Nf10,2,kmeans
Ca4,4,kmeans
SCCS51,0,kmeans
Af22,2,kmeans
Nb14,0,kmeans
CARNEIRO6_027,0,kmeans
Af25,0,kmeans
Nj7,4,kmeans
ec13,0,kmeans
Sh5,0,kmeans
SCCS83,6,kmeans
Cd15,0,kmeans
WNAI172,1,kmeans
Ag28,0,kmeans
Ah23,0,kmeans
WNAI156,1,kmeans
Aj21,0,kmeans
Id12,0,kmeans
CARNEIRO4_092,0,kmeans
Ah2,4,kmeans
Nj12,0,kmeans
Ci4,4,kmeans
Ag49,0,kmeans
Cd4,4,kmeans
Ee7,0,kmeans
Ei5,2,kmeans
Ah19,0,kmeans
Sh4,2,kmeans
SCCS33,0,kmeans
Ah20,0,kmeans
Ad50,0,kmeans
Aj14,0,kmeans
Af21,2,kmeans
Na25,4,kmeans
Nd12,2,kmeans
Ci1,0,kmeans
CARNEIRO4_072,0,kmeans
Si5,2,kmeans
Ad34,0,kmeans
Ic9,0,kmeans
Ie30,0,kmeans
Ea5,4,kmeans
Cb18,4,kmeans
Cb9,4,kmeans
Ac32,0,kmeans
Ii7,2,kmeans
Sa11,0,kmeans
CARNEIRO4_119,0,kmeans
ch22,0,kmeans
Ad38,0,kmeans
Sj1,2,kmeans
Ei17,0,kmeans
Cb10,0,kmeans
Id5,4,kmeans
WNAI37,0,kmeans
Ag13,0,kmeans
Ef8,2,kmeans
CARNEIRO4_090,0,kmeans
Ah1,0,kmeans
WNAI43,0,kmeans
WNAI79,1,kmeans
Sj9,4,kmeans
SCCS65,3,kmeans
Ic8,4,kmeans
CARNEIRO4_037,0,kmeans
Ae27,0,kmeans
CARNEIRO6_068,0,kmeans
SCCS39,6,kmeans
Af16,0,kmeans
Ad43,0,kmeans
Ec8,2,kmeans
Ec10,2,kmeans
Cb4,0,kmeans
Ei8,2,kmeans
Sa13,2,kmeans
Nf15,0,kmeans
SCCS11,3,kmeans
CARNEIRO6_028,0,kmeans
WNAI91,1,kmeans
SCCS93,0,kmeans
Ed14,0,kmeans
Ae10,2,kmeans
Ne2,2,kmeans
Ne17,2,kmeans
CARNEIRO4_108,0,kmeans
Ag9,0,kmeans
Nc9,2,kmeans
Af48,0,kmeans
WNAI109,0,kmeans
Ai37,2,kmeans
Eg5,2,kmeans
Ic13,0,kmeans
CARNEIRO4_030,0,kmeans
Ie20,4,kmeans
Ae54,0,kmeans
Ai46,4,kmeans
Ae32,0,kmeans
Ag10,4,kmeans
SCCS35,0,kmeans
Ad44,4,kmeans
Ac18,0,kmeans
Ai2,0,kmeans
Ca40,0,kmeans
SCCS116,0,kmeans
Ia17,0,kmeans
Ec5,2,kmeans
If11,0,kmeans
Eg11,0,kmeans
SCCS24,0,kmeans
Sj5,4,kmeans
Ai38,4,kmeans
CARNEIRO4_126,0,kmeans
Eg12,0,kmeans
CARNEIRO4_073,0,kmeans
Aj15,0,kmeans
Nc6,2,kmeans
Ci3,4,kmeans
Ca33,2,kmeans
Ac37,0,kmeans
