culture_id,cluster_id,method
Af11,2,kmeans
Ac30,4,kmeans
Ac13,2,kmeans
Ii12,4,kmeans
WNAI81,1,kmeans
Ad48,2,kmeans
Aj24,0,kmeans
Af53,0,kmeans
Ac3,4,kmeans
Si2,2,kmeans
Ca17,4,kmeans
Ac16,0,kmeans
CARNEIRO4_031,0,kmeans
Ab13,2,kmeans
Ab15,0,kmeans
Ij5,4,kmeans
WNAI78,1,kmeans
Se12,0,kmeans
WNAI75,0,kmeans
Ai42,4,kmeans
Ac36,4,kmeans
Ag40,0,kmeans
Cc4,4,kmeans
SCCS15,3,kmeans
Cd21,2,kmeans
CARNEIRO4_086,0,kmeans
CARNEIRO6_042,0,kmeans
CARNEIRO6_048,0,kmeans
Ai20,0,kmeans
Eb5,4,kmeans
Aj5,4,kmeans
WNAI32,0,kmeans
Eb2,2,kmeans
Ii4,2,kmeans
SCCS112,0,kmeans
Nb2,2,kmeans
Sa2,0,kmeans
ec21,0,kmeans
ec18,0,kmeans
If9,4,kmeans
WNAI108,0,kmeans
SCCS5,0,kmeans
Ie11,0,kmeans
Si8,2,kmeans
CARNEIRO4_113,0,kmeans
CARNEIRO4_105,0,kmeans
Na38,2,kmeans
Na1,2,kmeans
Sf9,0,kmeans
WNAI130,1,kmeans
Ig12,0,kmeans
Ag43,0,kmeans
Af58,0,kmeans
SCCS136,3,kmeans
WNAI54,0,kmeans
CARNEIRO6_065,0,kmeans
Ab6,4,kmeans
ch27,0,kmeans
SCCS73,3,kmeans
ch28,0,kmeans
Ah8,4,kmeans
Nb39,0,kmeans
Sd7,2,kmeans
WNAI137,0,kmeans
Cg5,4,kmeans
Ii13,2,kmeans
Ag8,0,kmeans
Id9,4,kmeans
Ie2,4,kmeans
Sc5,2,kmeans
WNAI66,0,kmeans
CARNEIRO4_068,0,kmeans
Id10,2,kmeans
Ie6,0,kmeans
WNAI110,0,kmeans
CARNEIRO4_096,0,kmeans
Sc14,0,kmeans
Sb6,2,kmeans
WNAI102,0,kmeans
SCCS50,3,kmeans
Ne14,0,kmeans
SCCS59,3,kmeans
Ej12,0,kmeans
ch23,0,kmeans
Eg13,0,kmeans
Ee8,0,kmeans
Cb22,0,kmeans
Ai1,2,kmeans
Af47,0,kmeans
Aj26,0,kmeans
Nh17,4,kmeans
Na22,0,kmeans
Nd43,2,kmeans
Ca12,0,kmeans
Nf5,2,kmeans
Sh1,2,kmeans
Id6,0,kmeans
WNAI39,0,kmeans
Ie4,4,kmeans
CARNEIRO6_074,0,kmeans
SCCS114,0,kmeans
Ig13,0,kmeans
SCCS144,0,kmeans
Ag23,0,kmeans
Aa8,0,kmeans
CARNEIRO6_056,0,kmeans
Sj2,2,kmeans
Ab11,2,kmeans
Ci2,4,kmeans
CARNEIRO6_076,0,kmeans
Sj3,2,kmeans
Sc7,2,kmeans
Ed13,0,kmeans
Se4,2,kmeans
Ac20,0,kmeans
Ec2,2,kmeans
Nj10,2,kmeans
Ag54,0,kmeans
CARNEIRO4_093,0,kmeans
Ia14,2,kmeans
WNAI62,0,kmeans
CARNEIRO6_055,0,kmeans
Sd4,0,kmeans
Ac26,0,kmeans
Ac7,2,kmeans
SCCS110,0,kmeans
Ni7,4,kmeans
Nd67,0,kmeans
Af26,0,kmeans
Ae21,0,kmeans
Ig11,0,kmeans
Sf8,2,kmeans
Ac8,4,kmeans
Sa6,2,kmeans
Ng11,0,kmeans
Ed16,0,kmeans
Nc16,2,kmeans
CARNEIRO4_069,0,kmeans
Nb4,2,kmeans
Ea2,4,kmeans
Ai3,2,kmeans
Cb20,0,kmeans
Cc20,0,kmeans
WNAI162,1,kmeans
Ad28,0,kmeans
Ad49,0,kmeans
CARNEIRO6_073,0,kmeans
Nh4,2,kmeans
