statistic,p_value,z_score,significant,interpretation,feature,n_ones,n_zeros
0.03916948373092653,0.9683240766975345,0.0397103166135658,False,Random spatial distribution (no significant autocorrelation),WNAI399,1640,210
0.047729405238617184,0.9615008734331003,0.04827023812125645,False,Random spatial distribution (no significant autocorrelation),WNAI408,537,1313
0.04180347512031893,0.9662242242632395,0.04234430800295819,False,Random spatial distribution (no significant autocorrelation),WNAI409,685,1165
0.031059906195531065,0.9747904539863501,0.03160073907817033,False,Random spatial distribution (no significant autocorrelation),WNAI410,679,1171
0.023237070704264787,0.9810297654492979,0.023777903586904053,False,Random spatial distribution (no significant autocorrelation),WNAI411,399,1451
0.01969488261342373,0.9838553368671061,0.020235715496062994,False,Random spatial distribution (no significant autocorrelation),WNAI412,416,1434
0.313433865569223,0.7535402554751729,0.31397469845186227,False,Random spatial distribution (no significant autocorrelation),WNAI413,915,935
0.04970923073866567,0.9599231169150069,0.050250063621304936,False,Random spatial distribution (no significant autocorrelation),WNAI414,534,1316
0.02151260253696516,0.9824053305839424,0.022053435419604424,False,Random spatial distribution (no significant autocorrelation),WNAI416,643,1207
0.018995481674240255,0.9844132677381312,0.01953631455687952,False,Random spatial distribution (no significant autocorrelation),WNAI418,963,887
0.049967753174652574,0.959717107455111,0.05050858605729184,False,Random spatial distribution (no significant autocorrelation),WNAI422,1533,317
0.10598072489239799,0.9151685520842259,0.10652155777503725,False,Random spatial distribution (no significant autocorrelation),WNAI423,3089,-1239
0.04733803778576128,0.9618127788389295,0.04787887066840055,False,Random spatial distribution (no significant autocorrelation),WNAI424,1034,816
0.13051881989891195,0.8957281182065644,0.1310596527815512,False,Random spatial distribution (no significant autocorrelation),WNAI425,3083,-1233
