distance_bin,distance_min,distance_max,mean_similarity,std_similarity,n_pairs,se_similarity
0-2000 km,0,2000,-0.010424459020832557,0.17933067260087082,160,0.014177334493717586
2000-5000 km,2000,5000,0.010072023104243528,0.22972475680182652,318,0.012882324672003127
5000-10000 km,5000,10000,0.004417615872141081,0.2436516971783946,808,0.00857163679520435
10000-20000 km,10000,20000,0.001207100335365779,0.22635893074582655,1214,0.006496632350801274
