k,silhouette,davies_bouldin,calinski_harabasz,inertia
2,0.5811866353904303,0.7749402092564044,543.5248450595719,277.4599458680445
3,0.594060561692167,1.1427758344872638,462.9798909862702,201.54725979605124
4,0.6256006799745343,1.0896189590147811,415.2773749715138,163.8553421057557
5,0.6480305681849373,0.9633380422320572,414.87429577517594,131.8838960261131
6,0.6695442474341425,0.9580361359833646,407.4237049953404,111.85938114387497
7,0.7256591904701953,0.8667051400640228,433.07308378900615,91.25298835517884
8,0.7799986599818339,0.7676586776931162,453.4440140473909,76.70364376761702
9,0.8054513542025147,0.7188123009098165,491.17420836906894,63.41770669406074
10,0.826073346962406,0.6167007656268012,527.5703249151372,53.36376231527093
